	#Component	completeness			connectivity			completeness				connectivity				edge Num				oracle	#false negative 				false negative rate			
		dynamic	manual	whole	dynamic	manual	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator
appinventor.ai_24bwestover.FoosballUtility_BW	11	0.30	0.30	0.30	0.00	0.00	0.00	0.30	0.30	0.30	0.30	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
photography.darkroom	6	0.13	0.13	0.13	0.00	0.00	0.00	1.00	0.67	0.67	0.13	2.00	1.67	1.67	0.00	6	5	5	0	0	0	0	0	0	0.00	0.00	0.00	0.00
tush.tabiri.uzbek.meaning.dreams.tushlar	6	0.17	0.17	0.17	0.00	0.00	0.00	1.00	0.17	0.63	0.63	3.33	0.00	1.67	1.67	10	0	5	5	0	0	0	0	0	0.00	0.00	0.00	0.00
com.adil.sansursuz.izle	12	0.15	0.15	0.15	0.00	0.00	0.00	0.56	0.46	0.46	0.27	1.67	1.00	1.00	0.33	10	6	6	2	0	0	0	0	0	0.00	0.00	0.00	0.00
mx.pmradio.player	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
appinventor.ai_jung720044.polish11	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.bddroid.android.verbnepali	54	0.09	0.09	0.09	0.00	0.00	0.00	0.84	0.09	0.09	0.24	3.26	0.00	0.00	0.89	88	0	0	24	0	0	0	0	0	0.00	0.00	0.00	0.00
cityguide.Mallorca	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
fr.lehovetzki.ABMathlite	19	0.04	0.04	0.04	0.00	0.00	0.00	0.45	0.95	0.04	0.95	1.68	4.00	0.00	4.00	16	38	0	38	0	0	0	0	0	0.00	0.00	0.00	0.00
br.com.mobradio.radio102fmmacapa	8	0.19	0.19	0.19	0.00	0.00	0.00	0.72	0.56	0.56	0.31	2.00	1.00	1.00	0.25	8	4	4	1	0	0	0	0	0	0.00	0.00	0.00	0.00
kvp.jjy.MispAndroid320	33	0.10	0.10	0.10	0.00	0.00	0.00	0.79	0.10	0.10	0.10	3.58	0.00	0.00	0.00	59	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.app_midwest.layout	34	0.04	0.04	0.04	0.00	0.00	0.00	0.31	0.04	0.04	0.04	2.24	0.00	0.00	0.00	38	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.beridentity.app_2699_best_shoe_flat_feet	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
