		callBack	staticCB	dynamicCB	implicitCB	atypicalICC	implicitICC	stringOp	staticVal	callContext	async	polym	nonAct	dynamicBC	fragment	adapter	widget	otherClass	isLibraryInvocation	staticCBOnly	dynamicCBOnly	implicitCBonly	atypicalICCOnly	implicitICCOnly	stringOpOnly	staticValOnly	callContextOnly	asyncOnly	polymOnly	nonActonly	dynamicBCOnly	fragmentOnly	adapterOnly	widgetOnly	otherClassOnly	libraryonly
K9Mail	ICCBot      	3	0	1	2	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
K9Mail	IC3         	11	0	6	5	2	0	0	0	2	0	1	13	0	2	0	2	0	0	0	3	1	0	0	0	0	0	0	0	10	3	0	0	0	0	0
K9Mail	IC3Dial     	33	0	15	18	2	0	0	0	5	0	1	14	0	3	0	2	0	0	0	10	13	0	0	0	0	3	0	0	11	10	1	0	0	0	0
K9Mail	Gator         	17	0	10	7	2	0	0	0	5	0	1	14	0	2	0	2	0	0	0	5	2	0	0	0	0	3	0	0	11	5	0	0	0	0	0
K9Mail	A3E         	29	0	12	17	1	0	0	0	5	0	1	13	0	3	0	1	0	0	0	7	12	0	0	0	0	3	0	0	11	7	1	0	0	0	0
K9Mail	Story         	29	0	12	17	2	0	0	0	5	0	1	14	0	3	0	2	0	0	0	7	12	0	0	0	0	3	0	0	11	7	1	0	0	0	0
Lincal	oracle       	8	0	4	4	0	0	0	0	0	0	4	3	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	4	1	1	0	1	0	0	0
Lincal	ICCBot      	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lincal	IC3         	6	0	3	3	0	0	0	0	0	0	3	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0
Lincal	IC3Dial     	6	0	3	3	0	0	0	0	0	0	3	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0
Lincal	Gator         	3	0	3	0	0	0	0	0	0	0	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Lincal	A3E         	6	0	2	4	0	0	0	0	0	0	4	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Lincal	Story         	5	0	2	3	0	0	0	0	0	0	3	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
me.blog.korn123.easydiary	oracle       	24	0	17	11	1	0	0	0	20	2	0	1	0	5	9	1	21	0	0	2	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0
